1681668487.484840 client started (8382): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1681668487.484936 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:39:35 PST 2023; root:xnu-8792.81.3~2/RELEASE_ARM64_T8103
1681668487.484982 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1681668487.490547 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490551 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490556 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490560 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490564 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490569 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.490573 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490577 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490582 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490586 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490590 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490595 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490599 sending message 112 to peer 0x118008000 (11 bytes)
1681668487.490610 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490614 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490619 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490623 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490628 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490632 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490636 sending message 112 to peer 0x118008000 (11 bytes)
1681668487.490641 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490645 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490650 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490654 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490659 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490663 sending message 112 to peer 0x118008000 (21 bytes)
1681668487.490668 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490672 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.490677 sending message 112 to peer 0x118008000 (6 bytes)
1681668487.490682 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490686 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490691 sending message 112 to peer 0x118008000 (24 bytes)
1681668487.490695 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490699 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.490704 sending message 112 to peer 0x118008000 (70 bytes)
1681668487.490708 sending message 112 to peer 0x118008000 (69 bytes)
1681668487.490712 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490717 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490721 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490725 sending message 112 to peer 0x118008000 (24 bytes)
1681668487.490730 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490735 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490739 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490743 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490748 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490752 sending message 112 to peer 0x118008000 (15 bytes)
1681668487.490756 sending message 112 to peer 0x118008000 (5 bytes)
1681668487.490763 sending message 104 to peer 0x118008000 (0 bytes)
1681668487.490768 sending message 110 to peer 0x118008000 (0 bytes)
1681668487.490773 sending message 107 to peer 0x118008000 (4 bytes)
1681668487.490778 sending message 105 to peer 0x118008000 (60 bytes)
1681668487.490782 sending message 105 to peer 0x118008000 (66 bytes)
1681668487.490786 sending message 105 to peer 0x118008000 (27 bytes)
1681668487.490791 sending message 105 to peer 0x118008000 (15 bytes)
1681668487.490795 sending message 105 to peer 0x118008000 (18 bytes)
1681668487.490799 sending message 105 to peer 0x118008000 (14 bytes)
1681668487.490804 sending message 105 to peer 0x118008000 (38 bytes)
1681668487.490808 sending message 105 to peer 0x118008000 (28 bytes)
1681668487.490813 sending message 105 to peer 0x118008000 (43 bytes)
1681668487.490817 sending message 105 to peer 0x118008000 (15 bytes)
1681668487.490821 sending message 105 to peer 0x118008000 (28 bytes)
1681668487.490826 sending message 105 to peer 0x118008000 (23 bytes)
1681668487.490830 sending message 105 to peer 0x118008000 (796 bytes)
1681668487.490835 sending message 105 to peer 0x118008000 (19 bytes)
1681668487.490840 sending message 105 to peer 0x118008000 (20 bytes)
1681668487.490844 sending message 105 to peer 0x118008000 (22 bytes)
1681668487.490849 sending message 105 to peer 0x118008000 (20 bytes)
1681668487.490853 sending message 105 to peer 0x118008000 (26 bytes)
1681668487.490857 sending message 105 to peer 0x118008000 (57 bytes)
1681668487.490862 sending message 105 to peer 0x118008000 (19 bytes)
1681668487.490866 sending message 105 to peer 0x118008000 (19 bytes)
1681668487.490871 sending message 105 to peer 0x118008000 (22 bytes)
1681668487.490884 sending message 105 to peer 0x118008000 (61 bytes)
1681668487.490889 sending message 105 to peer 0x118008000 (32 bytes)
1681668487.490893 sending message 105 to peer 0x118008000 (8 bytes)
1681668487.490898 sending message 105 to peer 0x118008000 (28 bytes)
1681668487.490903 sending message 105 to peer 0x118008000 (28 bytes)
1681668487.490907 sending message 105 to peer 0x118008000 (12 bytes)
1681668487.490912 sending message 105 to peer 0x118008000 (22 bytes)
1681668487.490916 sending message 105 to peer 0x118008000 (36 bytes)
1681668487.490921 sending message 105 to peer 0x118008000 (12 bytes)
1681668487.490925 sending message 105 to peer 0x118008000 (39 bytes)
1681668487.490929 sending message 105 to peer 0x118008000 (48 bytes)
1681668487.490934 sending message 105 to peer 0x118008000 (53 bytes)
1681668487.490938 sending message 105 to peer 0x118008000 (43 bytes)
1681668487.490943 sending message 105 to peer 0x118008000 (11 bytes)
1681668487.490947 sending message 105 to peer 0x118008000 (8 bytes)
1681668487.490952 sending message 105 to peer 0x118008000 (32 bytes)
1681668487.490956 sending message 105 to peer 0x118008000 (96 bytes)
1681668487.490965 sending message 105 to peer 0x118008000 (10 bytes)
